model,held_out_region,n,spearman,kendall,mae,rmse,r2
mean (baseline),Asia (East & Southeast),34,0.0,0.0,2.1674170968149933,2.5558798865918635,-0.6500078080025966
mean (baseline),Eastern & Southern Europe,34,0.0,0.0,2.01426461004219,2.410132020304668,-0.006981353580909344
mean (baseline),Latin America & Africa,33,0.0,0.0,2.6040455557701705,2.9290905782149017,-0.6993994694240395
mean (baseline),North America,33,0.0,0.0,1.8709523751748913,2.2794053294398493,-0.26540567033447404
mean (baseline),South & Central Asia + Oceania,33,0.0,0.0,2.4155353354281615,2.9079942498114155,-0.5006533923557814
mean (baseline),Western & Northern Europe,33,0.0,0.0,1.882557069570306,2.290889004499459,-0.2377021242715791
Track A composite,Asia (East & Southeast),34,0.551025494022338,0.4178780173293822,1.6929188992909967,2.00218282223448,-0.012540913620681327
Track A composite,Eastern & Southern Europe,34,0.8105423987776927,0.625668449197861,1.1923891636849424,1.5525970538486924,0.5821145223057663
Track A composite,Latin America & Africa,33,0.7249937352963461,0.5554504864897963,1.0058846908065413,1.3248596895580294,0.6523280548921859
Track A composite,North America,33,0.7376336898395722,0.5416666666666666,1.3188147387425528,1.6346894037034811,0.34918560175882773
Track A composite,South & Central Asia + Oceania,33,0.7225372569054118,0.5476072838939757,1.6827326277936898,1.9761925489890804,0.30697033885657987
Track A composite,Western & Northern Europe,33,0.7017631845341995,0.53649313200209,1.1143346745458333,1.5173889765324793,0.4569974236299298
B5-content-only,Asia (East & Southeast),34,0.6412298157398642,0.46500301394065596,1.4722209853993673,1.8743322616683042,0.11264320427191887
B5-content-only,Eastern & Southern Europe,34,0.6968215240283089,0.5482151597825204,1.4552338823337987,1.7843079424563433,0.448075871304358
B5-content-only,Latin America & Africa,33,0.6573007817672722,0.46566242262125024,1.4010898521829263,1.7600854258788576,0.38638302088095144
B5-content-only,North America,33,0.6193378428132323,0.46655488962459707,1.3716853376637126,1.7438900207421177,0.25932984983993534
B5-content-only,South & Central Asia + Oceania,33,0.6888652625707454,0.49811719736101145,1.7433277996289458,1.95625752645059,0.3208818163099987
B5-content-only,Western & Northern Europe,33,0.6820346161452854,0.4615930911724977,1.2319073777263336,1.5481408907070655,0.43476505439973545
B9-technical-only,Asia (East & Southeast),34,0.17983193277310922,0.13725490196078433,2.0143546457860264,2.3650180117798985,-0.41277832720061247
B9-technical-only,Eastern & Southern Europe,34,0.010847975553857905,0.0017825311942959003,2.086168746341736,2.4406714761652273,-0.032662519697223225
B9-technical-only,Latin America & Africa,33,0.08455882352941177,0.04924242424242424,2.476016799520973,2.847299210775008,-0.6058171434608937
B9-technical-only,North America,33,-0.25935828877005346,-0.17045454545454547,1.84076627528334,2.287670506962834,-0.27459908960128265
B9-technical-only,South & Central Asia + Oceania,33,0.11631016042780751,0.09469696969696971,2.377447430683542,2.910881565054537,-0.5036348359667542
B9-technical-only,Western & Northern Europe,33,0.2820855614973262,0.19318181818181818,1.712244462201117,2.092754464837071,-0.0328674593073226
Ridge,Asia (East & Southeast),34,0.8163483575248279,0.6399286987522282,1.2917341216346687,1.5065454220143357,0.42671631968712054
Ridge,Eastern & Southern Europe,34,0.8355996944232237,0.6506238859180037,1.121618720402797,1.3786676150732045,0.6704973500557767
Ridge,Latin America & Africa,33,0.7282754010695188,0.5492424242424242,1.0124969090065088,1.270991485939199,0.6800256560805124
Ridge,North America,33,0.8118315508021391,0.6022727272727273,1.2148231867101082,1.5124550131832264,0.4428763573182162
Ridge,South & Central Asia + Oceania,33,0.877673796791444,0.7272727272727273,1.1832165605765583,1.4659021415448306,0.6186679869475638
Ridge,Western & Northern Europe,33,0.8379010695187166,0.6325757575757576,0.9654303982702369,1.243505222578152,0.6353272870228186
RandomForest,Asia (East & Southeast),34,0.7885408708938121,0.572192513368984,1.1595441845278314,1.4728162386824744,0.4520988065154051
RandomForest,Eastern & Southern Europe,34,0.7961802902979372,0.625668449197861,1.0435312160294243,1.3689455961195232,0.6751281052520346
RandomForest,Latin America & Africa,33,0.7426470588235294,0.5454545454545455,1.0530261091648834,1.2578046364066409,0.6866308373731963
RandomForest,North America,33,0.8315508021390374,0.6477272727272727,1.1343407502223466,1.4072987370575716,0.517653364721462
RandomForest,South & Central Asia + Oceania,33,0.875,0.696969696969697,1.2364528363183216,1.5101085586180363,0.5953219530028456
RandomForest,Western & Northern Europe,33,0.8536096256684492,0.6666666666666666,0.80873058797897,1.1304573169777539,0.6986186463366626
LightGBM,Asia (East & Southeast),34,0.8019862490450725,0.5935828877005349,1.1210644077718073,1.3540211771487383,0.536919991708994
LightGBM,Eastern & Southern Europe,34,0.8533231474407945,0.6827094474153299,0.9599981386731651,1.2370866838565135,0.7346983031788363
LightGBM,Latin America & Africa,33,0.7630347593582889,0.6060606060606061,0.8146247253475731,0.9736223866770864,0.8122365844057772
LightGBM,North America,33,0.84024064171123,0.6590909090909091,0.9029684269911942,1.2420227652631564,0.6242960424087437
LightGBM,South & Central Asia + Oceania,33,0.8890374331550802,0.7234848484848484,0.9719560081134834,1.2710965711504476,0.7132850082945578
LightGBM,Western & Northern Europe,33,0.8679812834224598,0.6742424242424242,0.8773580971244654,1.0741674823112728,0.7278852753357972
LightGBM+mono,Asia (East & Southeast),34,0.7827349121466768,0.590017825311943,1.1180084975209874,1.416186905676525,0.4934220668841064
LightGBM+mono,Eastern & Southern Europe,34,0.8444614209320092,0.6827094474153299,0.9040999618967591,1.2596845731878084,0.7249172325057804
LightGBM+mono,Latin America & Africa,33,0.7697192513368984,0.6060606060606061,0.7944920737545846,0.975772405438015,0.8114064050573597
LightGBM+mono,North America,33,0.8716577540106953,0.7196969696969698,0.9377701860811162,1.1993800561189598,0.6496514670196323
LightGBM+mono,South & Central Asia + Oceania,33,0.8973930481283423,0.7386363636363638,0.9265243807488113,1.1643832512302776,0.7594057703581252
LightGBM+mono,Western & Northern Europe,33,0.8973930481283423,0.7272727272727273,0.8809825724926195,1.036032805849484,0.7468633340073079
LightGBM+labelwt,Asia (East & Southeast),34,0.7631779984721161,0.5614973262032087,1.1203374447511691,1.3905828551971786,0.5115739038582816
LightGBM+labelwt,Eastern & Southern Europe,34,0.8475171886936593,0.679144385026738,0.9154526404319469,1.2456402641773379,0.7310168722258608
LightGBM+labelwt,Latin America & Africa,33,0.7530080213903744,0.5909090909090909,0.8006694382228996,0.982974155744718,0.8086122778037944
LightGBM+labelwt,North America,33,0.8185160427807487,0.6363636363636364,0.9643546098293112,1.3095742831613495,0.5823168711337343
LightGBM+labelwt,South & Central Asia + Oceania,33,0.8893716577540107,0.7234848484848484,1.0387363644407142,1.2791949104044469,0.7096199651292352
LightGBM+labelwt,Western & Northern Europe,33,0.8800133689839572,0.696969696969697,0.8934793134738784,1.0672204227979825,0.7313936373933743
