block,n_features,nominal_weight_pct,mean,sd,realised_variance_share_pct,spearman_with_composite,weight_to_variance_ratio
B3_notices_updates,4,9.090909090909092,0.7134991843393148,0.2730844429262487,15.709052205896032,0.619283556020829,1.73
B5_page_content,15,9.090909090909092,0.641326808047852,0.2493193517629767,15.153560784442393,0.6756680178068039,1.67
B2_rankings_recog,6,9.090909090909092,0.3428280768533623,0.22315432840030391,10.896018137100256,0.5793103396931243,1.2
B6_footer,5,9.090909090909092,0.628548123980424,0.22819387249145617,10.750765098773673,0.4981757594964154,1.18
B10_seo_metadata,3,9.090909090909092,0.7145187601957586,0.2646357708788141,9.72860683888903,0.4313598054417143,1.07
B11_accessibility,4,9.090909090909092,0.5239961460032626,0.19513562216404515,9.404999874936445,0.5091215304274193,1.03
B4_events_media,8,9.090909090909092,0.5044861337683524,0.19900182222099902,8.990068967340637,0.5090697779022163,0.99
B8_service_interact,4,9.090909090909092,0.11827079934747145,0.16769168403005488,6.054906327820823,0.44801612938086927,0.67
B1_header_nav,6,9.090909090909092,0.6193230016313214,0.18552828441931593,5.952673814729497,0.28157223926595926,0.65
B9_technical_perf,4,9.090909090909092,0.7615170505577955,0.14648778216170408,3.9406616624683783,0.3040427992606028,0.43
B7_visual_design,3,9.090909090909092,0.5569299211528005,0.17657800842686844,3.4186862876028448,0.2401494248788509,0.38
