deleted,weight_was,spearman,top10_kept,median_rank_shift
D1,28,0.9536655665641672,1.0,54.0
D2,22,0.9484937734116365,0.4,45.0
D3,15,0.959579708657469,0.8,48.0
D4,15,0.9892701291367716,0.6,22.0
D5,10,0.9950888697867585,0.8,18.0
D6,7,0.9975834543162828,0.9,12.0
D7,3,0.9992512912435526,0.8,4.0
