perturbation,spearman,worst_draw,top10_kept,top50_kept
±10%,0.999510576977857,0.9987466107684121,0.9496666666666665,0.9767999999999999
±20%,0.9985548219596623,0.9963734590698851,0.9246666666666667,0.9468666666666666
±30%,0.9969194589339113,0.9901295029892404,0.8970000000000001,0.9162666666666667
±50%,0.9923826332282586,0.9778137357411588,0.8610000000000002,0.8617999999999999
