model,family,overall,gated,ungated,ratio
Linear Regression,linear,2.56480560242012,6.412564552199282,1.9051897824579778,3.3658403017079594
Ridge,linear,2.603598277162904,6.3686016961249905,1.958169119626547,3.25232464974199
Lasso,linear,2.8219945431475844,6.4686536762936555,2.1968529774654004,2.9445091422352747
SVR (RBF kernel),kernel,2.4792952525808802,4.486901503530176,2.1351341809895725,2.1014611369532887
Neural Net (MLP),neural,1.7224241995921414,1.6731914858910124,1.7308640933694777,0.9666798752718974
Decision Tree,tree,3.7814227642276426,1.8033333333333335,4.12052380952381,0.4376466237533369
Random Forest,ensemble,2.3523398373983646,1.0538409722222193,2.5749396428571325,0.40926822310012895
Gradient Boosting,ensemble,1.5051138757181888,1.456477367414223,1.5134515628560115,0.9623547942728519
LightGBM,ensemble,1.2563078030110408,1.0668506631375279,1.2887861698465004,0.8277949345659056
