feature,source_group,measurement_type,scored_by,weight_in_dimension,points_at_maximum,transform,engineered,missing_pct_raw,min,max,mean,sd,prevalence_pct,corr_with_score
a02_primary_nav,Header & navigation,binary flag,D4,0.25,3.75,identity (0/1); also triggers the 45-point gate,0,0.0,0.0,1.0,0.851,0.356,85.1,0.539
a03_nav_item_count,Header & navigation,count,D4,0.25,3.75,"nav_breadth_curve, inverted U",0,0.0,0.0,20.0,5.144,4.127,,0.271
a04_search_bar,Header & navigation,binary flag,D4,0.2,3.0,identity (0/1),0,0.0,0.0,1.0,0.795,0.404,79.5,0.231
a06_breadcrumb,Header & navigation,binary flag,D4,0.1,1.5,identity (0/1),0,0.0,0.0,1.0,0.092,0.289,9.2,0.089
a72_alt_text_pct,Accessibility,percentage 0-100,D5,0.18,1.8,sqrt of 0-100 rescale (concave),0,0.33,0.0,100.0,62.044,33.912,,0.225
a73_accessible_design,Accessibility,binary flag,D5,0.1,1.0,identity (0/1),0,0.0,0.0,1.0,0.932,0.251,93.2,0.277
a74_a11y_toggle,Accessibility,binary flag,D5,0.08,0.8,identity (0/1),0,0.0,0.0,1.0,0.438,0.496,43.8,0.367
a05_language_toggle,Header & navigation,binary flag,D5,0.09,0.9,identity (0/1),0,0.0,0.0,1.0,0.386,0.487,38.6,0.096
a63_mobile_score,Technical performance,index 0-100,D5,0.32,3.2,linear rescale 0-100 -> 0-1,0,0.0,0.0,100.0,81.571,14.775,,0.258
a53_contrast_ratio,Visual design,ratio,D5,0.23,2.3,"contrast_curve, plateau at 7:1",0,0.08,1.0,21.0,14.409,5.406,,0.01
a69_title_meta,SEO & metadata,binary flag,D6,0.12,0.84,identity (0/1),0,0.0,0.0,1.0,0.654,0.476,65.4,0.157
a70_favicon,SEO & metadata,binary flag,D6,0.04,0.28,identity (0/1),0,0.0,0.0,1.0,0.903,0.296,90.3,0.115
a71_sitemap_robots,SEO & metadata,binary flag,D6,0.07,0.49,identity (0/1),0,0.0,0.0,1.0,0.586,0.493,58.6,0.093
a65_https,Technical performance,binary flag,D6,0.26,1.82,identity (0/1); also triggers the 60-point gate,0,0.0,0.0,1.0,0.989,0.106,98.9,0.108
a66_broken_links,Technical performance,count,D6,0.24,1.68,"broken_curve, 5-step penalty",0,0.0,0.0,1129.0,1.5,32.369,,-0.03
a67_gzip,Technical performance,binary flag,D6,0.07,0.49,identity (0/1),0,0.0,0.0,1.0,0.817,0.387,81.7,0.097
load_time_z_region,Technical performance,z-score (within region),D6,0.2,1.4,"within-region percentile, inverted",1,,-1.875,5.329,-0.0,0.998,,-0.079
a47_footer_contact,Footer,binary flag,D7,0.14,0.42,identity (0/1),0,0.0,0.0,1.0,0.55,0.498,55.0,0.192
a50_social_links,Footer,binary flag,D7,0.04,0.12,identity (0/1),0,0.0,0.0,1.0,0.913,0.282,91.3,0.216
a01_logo,Header & navigation,binary flag,D7,0.06,0.18,identity (0/1),0,0.0,0.0,1.0,0.915,0.279,91.5,-0.01
a32_vision_mission,Page content,binary flag,D7,0.2,0.6,identity (0/1),0,0.0,0.0,1.0,0.8,0.4,80.0,0.453
a33_about_blurb,Page content,binary flag,D7,0.14,0.42,identity (0/1),0,0.0,0.0,1.0,0.838,0.369,83.8,0.609
a41_alumni_link,Page content,binary flag,D7,0.1,0.3,identity (0/1),0,0.0,0.0,1.0,0.754,0.431,75.4,0.527
a44_student_portal,Page content,binary flag,D7,0.11,0.33,identity (0/1),0,0.0,0.0,1.0,0.393,0.489,39.3,0.204
a11_accreditation,Rankings & recognition,binary flag,D7,0.11,0.33,identity (0/1),0,0.0,0.0,1.0,0.325,0.469,32.5,0.211
a13_achievements,Rankings & recognition,binary flag,D7,0.08,0.24,identity (0/1),0,0.0,0.0,1.0,0.606,0.489,60.6,0.406
a60_trust_seal,Service & interaction,binary flag,D7,0.02,0.06,identity (0/1),0,0.0,0.0,1.0,0.177,0.382,17.7,0.19
