uni_id,name,url,country,region,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a53_contrast_ratio_was_missing,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a72_alt_text_pct_was_missing,a73_accessible_design,a74_a11y_toggle,a75_bookmark,broken_links_log,load_time_z_region,notice_recency_days,notice_recency_days_was_missing,website_score,grade
6327,University of Limpopo,https://www.ul.ac.za,South Africa,Latin America & Africa,1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,6,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4.32,0,1,1,0,0,0,0,90,1,0,1,1,1,1,19.1,0,1,0,0,0.0,-0.14120190421117038,6.0,0,90.81,A+
5127,University of Wollongong,https://www.uow.edu.au,Australia,South & Central Asia + Oceania,1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,17.63,0,1,1,0,0,0,1,100,1,0,1,1,0,1,35.0,0,1,1,0,0.0,-0.029446725934543186,0.0,0,90.29,A+
6152,Makerere University,https://www.mak.ac.ug,Sub-Saharan Africa,Latin America & Africa,1,1,6,1,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,14,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,14.55,0,1,1,0,0,0,0,75,1,0,1,0,1,1,31.6,0,1,1,0,0.0,0.11096033722367503,4.0,0,90.24,A+
5155,Lincoln University,https://www.lincoln.ac.nz,New Zealand,South & Central Asia + Oceania,1,1,19,1,0,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15.91,0,1,1,0,0,0,1,100,1,0,1,1,1,1,90.0,0,1,0,0,0.0,1.03554840799476,0.0,0,89.67,A+
5173,Nazarbayev University,https://www.nu.edu.kz,Central Asia,South & Central Asia + Oceania,1,1,7,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,6,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,11.9,0,1,0,0,0,0,1,90,1,0,1,0,1,1,84.6,0,1,0,0,0.0,1.3963041036066757,0.0,0,89.59,A+
2191,Vrije Universiteit Brussel,https://www.vub.be,Belgium/Ireland/Iceland,Western & Northern Europe,1,1,4,1,1,1,0,0,0,0,0,1,9,0,1,1,1,1,1,12,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,21.0,0,1,1,0,0,1,1,100,1,0,1,1,1,0,97.7,0,1,0,0,0.0,0.4142836520424791,0.0,0,89.46,A+
2060,FAU Erlangen-Nuremberg,https://www.fau.de,Germany,Western & Northern Europe,1,1,1,1,1,0,0,1,1,0,1,1,7,1,1,1,1,1,1,13,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,21.0,0,1,1,0,0,1,1,90,1,0,1,1,1,0,93.8,0,1,1,1,0.0,-0.7933251723945604,1.0,0,89.45,A+
5150,University of Otago,https://www.otago.ac.nz,New Zealand,South & Central Asia + Oceania,1,1,7,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15.42,0,1,1,0,0,0,0,100,1,0,1,1,1,1,82.6,0,1,1,0,0.0,0.2578216983490189,0.0,0,89.43,A+
5312,Sharda University,https://www.sharda.ac.in,India,South & Central Asia + Oceania,1,1,8,0,0,0,0,1,1,1,1,1,10,1,1,1,1,1,1,3,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,11.29,0,1,1,0,0,1,1,75,1,2,1,1,1,1,82.1,0,1,0,0,1.0986122886681098,-0.4837316759643624,4.0,0,89.36,A+
5122,Curtin University,https://www.curtin.edu.au,Australia,South & Central Asia + Oceania,0,1,4,1,0,0,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,8.72,0,1,0,0,0,0,0,90,1,0,1,1,1,0,93.2,0,1,1,0,0.0,-0.0762113531434953,0.0,0,89.04,A+
5124,Queensland University of Technology,https://www.qut.edu.au,Australia,South & Central Asia + Oceania,0,1,16,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,6,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,11.46,0,1,0,1,0,0,1,75,1,0,1,1,1,1,20.0,0,1,0,0,0.0,0.1225790482325376,0.0,0,88.97,A+
1081,University of Arizona,https://www.arizona.edu,United States,North America,1,1,3,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,15.43,0,1,1,0,0,0,0,90,1,0,1,1,1,1,66.7,0,1,1,0,0.0,0.45054317975663494,6.0,0,88.91,A+
5311,Symbiosis International University,https://www.siu.edu.in,India,South & Central Asia + Oceania,1,1,7,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,15.95,0,1,1,1,0,0,1,100,1,1,0,1,1,1,98.1,0,1,0,0,0.6931471805599453,-0.05877645728510535,0.0,0,88.7,A+
6140,University of Port Harcourt,https://www.uniport.edu.ng,Sub-Saharan Africa,Latin America & Africa,1,1,6,1,0,0,0,1,0,0,1,1,4,1,1,1,0,1,1,9,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4.67,0,1,1,0,0,0,0,90,1,0,0,0,1,1,73.5,0,1,0,0,0.0,0.5579242212352727,18.0,0,88.43,A+
